lad_id,lad_ons,name,rgn_code,rgn_name,updated_at,tot_shops,R00,R01,R02,R03,R04,R05,R07,R08,R09,R11,R12,R13
21,E07000004,Aylesbury Vale,E12000008,South East,2019-03-17,1359,1,10,16,61,284,886,48,0,53,0,0,0
22,E07000005,Chiltern,E12000008,South East,2019-03-21,731,0,10,12,48,158,416,46,0,41,0,0,0
24,E07000006,South Buckinghamshire,E12000008,South East,2019-03-21,579,1,6,11,33,121,371,21,0,15,0,0,0
25,E07000007,Wycombe,E12000008,South East,2019-03-23,1165,10,52,34,127,175,623,59,0,85,0,0,0
27,E07000008,Cambridge City,E12000006,East of England,2019-03-12,1334,2,31,38,107,229,806,34,0,87,0,0,0
28,E07000009,East Cambridgeshire,E12000006,East of England,2019-03-23,672,1,5,8,37,104,430,36,0,46,0,0,0
29,E07000010,Fenland,E12000006,East of England,2019-03-20,706,2,11,4,40,80,526,4,0,39,0,0,0
30,E07000011,Huntingdonshire,E12000006,East of England,2019-03-22,1273,0,10,12,79,135,653,300,0,84,0,0,0
32,E07000012,South Cambridgeshire,E12000006,East of England,2019-03-06,1039,0,11,4,20,86,860,49,0,9,0,0,0
55,E07000026,Allerdale,E12000002,North West,2019-03-22,1107,3,18,21,89,218,657,1,0,100,0,0,0
56,E07000027,Barrow-in-Furness,E12000002,North West,2019-03-21,542,4,15,4,29,55,399,4,0,32,0,0,0
57,E07000028,Carlisle City,E12000002,North West,2019-03-21,857,0,4,6,22,82,695,23,0,25,0,0,0
58,E07000029,Copeland,E12000002,North West,2019-03-20,657,1,6,11,33,90,482,6,0,28,0,0,0
59,E07000030,Eden,E12000002,North West,2019-03-20,873,0,1,11,9,70,695,19,0,68,0,0,0
60,E07000031,South Lakeland,E12000002,North West,2019-03-23,1668,1,5,5,58,168,1313,3,0,114,0,0,0
62,E07000032,Amber Valley,E12000004,East Midlands,2019-03-22,1001,0,4,14,72,134,733,2,0,42,0,0,0
63,E07000033,Bolsover,E12000004,East Midlands,2019-03-19,690,4,10,5,18,42,519,33,0,59,0,0,0
64,E07000034,Chesterfield,E12000004,East Midlands,2019-03-21,921,0,9,5,21,154,652,17,0,63,0,0,0
66,E07000036,Erewash,E12000004,East Midlands,2019-03-22,900,0,4,15,34,152,624,16,0,55,0,0,0
67,E07000037,High Peak,E12000004,East Midlands,2019-03-21,716,0,6,5,41,87,560,13,0,4,0,0,0
68,E07000038,North East Derbyshire,E12000004,East Midlands,2019-03-19,782,0,6,4,22,107,560,28,0,55,0,0,0
69,E07000039,South Derbyshire,E12000004,East Midlands,2019-03-23,727,1,3,3,22,72,593,10,0,24,0,0,0
70,E07000035,Derbyshire Dales,E12000004,East Midlands,2019-03-18,936,1,22,13,60,123,668,2,0,47,0,0,0
72,E07000040,East Devon,E12000009,South West,2019-03-22,1430,1,23,23,110,286,852,0,0,135,0,0,0
73,E07000041,Exeter City,E12000009,South West,2019-03-21,1002,1,18,12,49,149,745,0,0,28,0,0,0
74,E07000042,Mid Devon,E12000009,South West,2019-03-22,515,1,2,5,16,35,454,2,0,0,0,0,0
75,E07000043,North Devon,E12000009,South West,2019-03-22,1435,0,1,0,16,118,1224,5,0,71,0,0,0
