code,name,description,type
datefield,reporting_period,reporting_period,i
airport,reporting_airport,reporting_airport,f
country,origin_destination_country,origin_destination_country,f
airport_od,origin_destination,origin_destination,f
airline,airline_name,airline_name,f
arr_dep,arrival_departure,arrival_departure,f
sched_chart,scheduled_charter,scheduled_charter,f
n_matched,number_flights_matched,number_flights_matched,n
n_unmatched,actual_flights_unmatched,actual_flights_unmatched,n
n_cancelled,number_flights_cancelled,number_flights_cancelled,n
early_16_plus,flights_more_than_15_minutes_early_percent,flights_more_than_15_minutes_early_percent,n
early_15_1,flights_15_minutes_early_to_1_minute_early_percent,flights_15_minutes_early_to_1_minute_early_percent,n
late_0_15,flights_0_to_15_minutes_late_percent,flights_0_to_15_minutes_late_percent,n
late_16_30,flights_between_16_and_30_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,n
late_31_60,flights_between_31_and_60_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,n
late_61_120,flights_between_61_and_120_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,n
late_121_180,flights_between_121_and_180_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,n
late_181_360,flights_between_181_and_360_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,n
late_361_plus,flights_more_than_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,n
avg_delay,average_delay_mins,average_delay_mins,i
